,Disease,Symptoms
1648,liver cancer,"I experience sharp abdominal pain, upper abdominal pain, stomach bloating, changes in stool appearance, decreased appetite, unusual color or smell of urine, increased heart rate, kidney mass, swollen abdomen, prostate, leg stiffness or tightness, groin mass"
1649,liver cancer,"I am experiencing swollen abdominal pain, upper abdominal pain, stomach bloating, changes in stool appearance, decreased appetite, unusual color or smell to urine, increased heart rate, kidney mass, swollen abdomen, prostate, leg stiffness or tightness, groin mass"
1650,liver cancer,"I have sharp abdominal pain, upper abdominal pain, stomach bloating, changes in stool appearance, decreased appetite, unusual color or smell of urine, increased heart rate, kidney mass, swollen abdomen, of prostate, leg stiffness or tightness, groin mass."
1651,liver cancer,"I have sharp abdominal pain, upper abdominal pain, stomach bloating, changes in stool appearance, reduced appetite, unusual color or odor to the urine, increased heart rate, kidney mass, swollen abdomen, prostate, leg stiffness or tightness, groin mass"
1652,liver cancer,"I have sharp abdominal pain, upper abdominal pain, stomach bloating, changes in stool appearance, decreased appetite, unusual color or smell in urine, increased heart rate, kidney mass, swollen abdomen, prostate, leg stiffness or tightness, groin mass"
1653,liver cancer,"I have sharp abdominal pain, upper abdominal pain, stomach bloating, changes in stool appearance, decreased appetite, unusual color or odor to urine, increased heart rate, kidney mass, swollen abdomen, prostate, leg stiffness or tightness, groin mass"
1654,liver cancer,"I have swollen abdominal muscles, upper abdominal pain, stomach bloating, changes in stool appearance, decreased appetite, unusual color or odor to urine, increased heart rate, kidney mass, swollen abdomen of prostate, leg stiffness or tightness, groin mass"
1655,atelectasis,"I experience cough, shortness of breath, sharp chest pain, fever, nasal congestion, dizziness, sore throat, sharp abdominal pain, difficulty breathing, rib pain, ache all over, headache."
1656,atelectasis,"I am experiencing cough, shortness of breath, sharp chest pain, fever, nasal congestion, dizziness, sore throat, sharp abdominal pain, difficulty breathing, rib pain, ache all over, headache"
1657,atelectasis,"I am experiencing cough, shortness of breath, sharp chest pain, fever, nasal congestion, dizziness, sore throat, sharp abdominal pain, difficulty breathing, rib pain, ache all over, headache"
1658,atelectasis,"I am experiencing cough, shortness of breath, chest pain, fever, nasal congestion, dizziness, sore throat, sharp abdominal pain, difficulty breathing, rib pain, ache all over, headache"
1659,atelectasis,"I am experiencing a cough, shortness of breath, sharp chest pain, fever, nasal congestion, dizziness, sore throat, sharp abdominal pain, difficulty breathing, rib pain, all over headache"
1660,atelectasis,"I have cough, shortness of breath, sharp chest pain, fever, nasal congestion, dizziness, sore throat, sharp abdominal pain, difficulty breathing, rib pain, ache all over, headache"
1661,atelectasis,"I have cough, shortness of breath, sharp chest pain, fever, nasal congestion, dizziness, sore throat, sharp abdominal pain, difficulty breathing, rib pain, ache all over, headache"
1662,atelectasis,"I have cough, shortness of breath, sharp chest pain, fever, nasal congestion, dizziness, throat, sharp abdominal pain, difficulty breathing, rib pain, ache all over, headache"
1663,atelectasis,"I have cough, shortness of breath, sharp chest pain, fever, nasal congestion, dizziness, sore throat, sharp abdominal pain, difficulty breathing, rib pain, ache all over, headache"
1664,atelectasis,"I have cough, shortness of breath, sharp chest pain, fever, nasal congestion, dizziness, sore throat, sharp abdominal pain, difficulty breathing, rib pain, ache all over, headache"
1665,injury to the hand,"I experience hand or finger pain, hand or finger swelling, wrist pain, hand or finger stiffness or tightness, joint pain, skin growth, muscle stiffness or tightness, pallor, focal weakness, of the face, wrist swelling, hand or finger lump or mass"
1666,injury to the hand,"I am experiencing hand or finger pain, hand or finger swelling, wrist pain, hand or finger stiffness or tightness, joint pain, skin growth, muscle stiffness or tightness, pallor, focal weakness, of the face, wrist swelling, hand or finger lump or mass."
1667,injury to the hand,"I feel hand or finger pain, hand or finger swelling, wrist pain, hand or finger stiffness or tightness, joint pain, skin growth, muscle stiffness or tightness, pallor, focal weakness, of the face, wrist swelling, hand or finger lump or mass"
1668,injury to the hand,"I experience hand or finger pain, hand or finger swelling, wrist pain, hand or finger stiffness or tightness, joint pain, skin growth, muscle stiffness or tightness, pallor, focal weakness, of the face, wrist swelling, hand or finger lump or mass"
1669,injury to the hand,"I feel hand or finger pain, hand or finger swelling, wrist pain, hand or finger stiffness or tightness, joint pain, skin growth, muscle stiffness or tightness, pallor, focal weakness of the face, wrist swelling, hand or finger lump or mass"
1670,injury to the hand,"I have hand or finger pain, hand or finger swelling, wrist pain, hand or finger stiffness or tightness, joint pain, skin growth, muscle stiffness or tightness, pallor, focal weakness, face, hand or finger swelling or mass"
1671,injury to the hand,"I have hand or finger pain, hand or finger swelling, wrist pain, hand or finger stiffness or tightness, joint pain, skin growth, muscle stiffness or tightness, pallor, focal weakness of face, wrist swelling, hand or finger lump or mass"
1672,injury to the hand,"I have hand or finger pain, hand or finger swelling, wrist pain, hand or finger stiffness or tightness, joint pain, skin growth, muscle stiffness or tightness, pallor, focal weakness, of the face, wrist swelling, hand or finger lump or mass"
1673,injury to the hand,"I have hand or finger pain, hand or finger swelling, wrist pain, hand or finger stiffness or tightness, joint pain, skin growth, muscle stiffness or tightness, pallor, focal weakness, of the face, wrist swelling, hand or finger lump or mass"
1674,injury to the hand,"I have pain in the hand or finger, hand or finger swelling, wrist pain, hand or finger stiffness or tightness, joint pain, skin growth, muscle stiffness or tightness, pallor, focal weakness of face, wrist swelling, hand or finger lump or mass"
1675,choledocholithiasis,"I am experiencing sharp abdominal pain, upper abdominal pain, vomiting, nausea, sharp chest pain, back pain, diarrhea, jaundice, side pain, chills, unusual color or odor to urine, decreased appetite."
1676,choledocholithiasis,"I am experiencing sharp abdominal pain, upper abdominal pain, vomiting, nausea, sharp chest pain, back pain, diarrhea, jaundice, side pain, chills, unusual color or odor to urine, decreased appetite"
1677,choledocholithiasis,"I am experiencing sharp abdominal pain, upper abdominal pain, vomiting, nausea, sharp chest pain, back pain, diarrhea, jaundice, side pain, chills, unusual color or smell of urine, decreased appetite"
1678,choledocholithiasis,"I am experiencing sharp abdominal pain, upper abdominal pain, vomiting, nausea, sharp chest pain, back pain, diarrhea, jaundice, side pain, chills, unusual color or odor to urine, decreased appetite."
1679,choledocholithiasis,"I am experiencing sharp abdominal pain, upper abdominal pain, vomiting, nausea, sharp chest pain, back pain, diarrhea, jaundice, side pain, chills, unusual color or odor to the urine, decreased appetite."
1680,choledocholithiasis,"I have sharp abdominal pain, upper abdominal pain, vomiting, nausea, sharp chest pain, back pain, diarrhea, jaundice, side pain, chills, unusual color or odor to urine, reduced appetite"
1681,choledocholithiasis,"I have sharp abdominal pain, upper abdominal pain, vomiting, nausea, sharp chest pain, back pain, diarrhea, jaundice, side pain, chills, unusual color or odor to urine, decreased appetite"
1682,choledocholithiasis,"I have sharp abdominal pain, upper abdominal pain, vomiting, nausea, sharp chest pain, back pain, diarrhea, jaundice, side pain, chills, abnormal color or odor to urine, decreased appetite"
1683,choledocholithiasis,"I have sharp abdominal pain, upper abdominal pain, vomiting, nausea, sharp chest pain, back pain, diarrhea, jaundice, side pain, chills, unusual color or odor in urine, decreased appetite."
1684,choledocholithiasis,"I have sharp abdominal pain, upper abdominal pain, vomiting, nausea, sharp chest pain, back pain, diarrhea, jaundice, side pain, chills, unusual color or odor to urine, decreased appetite"
1685,injury to the hip,"I am experiencing hip pain, leg pain, neck pain, groin pain, lower body pain, hand or finger swelling, peripheral edema, leg swelling, problems with movement"
1686,injury to the hip,"I am experiencing hip pain, leg pain, neck pain, groin pain, lower body pain, hand or finger swelling, peripheral edema, leg swelling, problems with movement"
1687,injury to the hip,"I experience hip pain, leg pain, neck pain, groin pain, lower body pain, hand or finger swelling, peripheral edema, leg swelling, problems with movement"
1688,injury to the hip,"I am experiencing hip pain, leg pain, neck pain, groin pain, lower body pain, hand or finger swelling, peripheral edema, leg swelling, problems with movement."
1689,injury to the hip,"I experience hip pain, leg pain, neck pain, groin pain, lower body pain, hand or finger swelling, peripheral edema, leg swelling, complaints with movement"
1690,injury to the hip,"I have hip pain, leg pain, neck pain, groin pain, lower body pain, hand or finger swelling, peripheral edema, leg swelling, problems with movement"
1691,injury to the hip,"I have hip pain, leg pain, neck pain, groin pain, lower body pain, hand or finger swelling, peripheral edema, leg swelling, problems with movement."
1692,injury to the hip,"I have hip pain, leg pain, neck pain, groin pain, lower body pain, hand or finger swelling, peripheral edema, leg swelling, problems with movement"
1693,injury to the hip,"I have knee pain, leg pain, neck pain, groin pain, lower body pain, hand or finger swelling, peripheral edema, leg swelling, problems with movement."
1694,injury to the hip,"I have hip pain, leg pain, neck pain, groin pain, lower body pain, hand or finger swelling, peripheral edema, leg swelling, pain with movement problems"
1695,cirrhosis,"I am experiencing sharp abdominal pain, shortness of breath, peripheral edema, fatigue, upper abdominal pain, abdominal distention, stomach bloating, blood in stool, regurgitation, kidneys, vomiting blood, melanomas"
1696,cirrhosis,"I am experiencing thinning abdominal pain, shortness of breath, peripheral edema, fatigue, upper abdominal pain, abdominal distention, stomach bloating, blood in stool, regurgitation, kidneys, vomiting blood, melena."
1697,cirrhosis,"I experience sharp abdominal pain, shortness of breath, peripheral edema, fatigue, upper abdominal pain, abdominal distention, stomach bloating, blood in stool, regurgitation of the kidneys, vomiting blood, melena"
1698,cirrhosis,"I experience sharp abdominal pain, shortness of breath, peripheral edema, fatigue, upper abdominal pain, abdominal distention, stomach bloating, blood in stool, recalcitration of the kidneys, vomiting blood, melena"
1699,cirrhosis,"I am experiencing sharp abdominal pain, shortness of breath, peripheral edema, fatigue, upper abdominal pain, abdominal distention, stomach bloating, blood in stool, regurgitation of the kidneys, vomiting blood, melena"
1700,cirrhosis,"I have severe abdominal pain, shortness of breath, peripheral edema, fatigue, upper abdominal pain, abdominal distention, stomach bloating, blood in stool, re-hydration, kidneys, vomiting blood, melena."
1701,cirrhosis,"I have sharp abdominal pain, shortness of breath, peripheral edema, fatigue, upper abdominal pain, abdominal distention, stomach bloating, blood in stool, regurgitation of the kidneys, vomiting blood, melena."
1702,cirrhosis,"I have abdominal pain, shortness of breath, peripheral edema, fatigue, upper abdominal pain, abdominal distention, stomach bloating, blood in the stool, regurgitation of the kidneys, nauseating blood, melena"
1703,cirrhosis,"I have sharp abdominal pain, shortness of breath, peripheral edema, fatigue, upper abdominal pain, abdominal distention, stomach bloating, blood in the stool, regurgitation of the kidneys, vomiting blood, melena"
1704,cirrhosis,"I have severe abdominal pain, shortness of breath, peripheral edema, fatigue, upper abdominal pain, abdominal distention, stomach bloating, blood in the stool, regurgitation, of the kidneys, vomiting blood, melanosis."
1705,thoracic aortic aneurysm,"- I experience sharp chest pain, dizziness, back pain, shortness of breath, sharp abdominal pain, fatigue, chest tightness, unusual color or odor to urine, flushing, leg cramps or spasms, coughing up sputum, jaundice"
1706,thoracic aortic aneurysm,"I experience sharp chest pain, dizziness, back pain, shortness of breath, sharp abdominal pain, fatigue, chest tightness, unusual color or odor of urine, flushing, leg cramps or spasms, sputum coughing, jaundice"
1707,thoracic aortic aneurysm,"/ I am experiencing sharp chest pain, dizziness, back pain, shortness of breath, sharp abdominal pain, fatigue, chest tightness, unusual color or odor to urine, flushing, leg cramps or spasms, coughing sputum / jaundice /"
1708,thoracic aortic aneurysm,"I am experiencing sharp chest pain, dizziness, back pain, shortness of breath, sharp abdominal pain, fatigue, chest tightness, unusual color or smell to urine, flushing, leg cramps or spasms, coughing sputum, jaundice"
1709,thoracic aortic aneurysm,"I experience sharp chest pain, dizziness, back pain, shortness of breath, sharp abdominal pain, fatigue, chest tightness, unusual color or odor of urine, flushing, leg cramps or spasms, sputum coughing, jaundice."
1710,thoracic aortic aneurysm,"I have sharp chest pain, dizziness, back pain, shortness of breath, sharp abdominal pain, fatigue, chest tightness, unusual color or odor to urine, flushing, leg cramps or spasms, coughing up sputum, jaundice"
1711,thoracic aortic aneurysm,"I have sharp chest pain, dizziness, back pain, shortness of breath, sharp abdominal pain, fatigue, chest tightness, unusual color or odor to urine, flushing, leg cramps or spasms, coughing sputum, jaundice"
1712,thoracic aortic aneurysm,"I have sharp chest pain, dizziness, back pain, shortness of breath, sharp abdominal pain, fatigue, chest tightness, unusual color or odor to the urine, flushing, leg cramps or spasms, coughing, jaundice, cramping sputum,"
1713,thoracic aortic aneurysm,"I have severe chest pain, dizziness, back pain, shortness of breath, sharp abdominal pain, fatigue, chest tightness, unusual color or odor in the urine, flushing, leg cramps or spasms, coughing up sputum, jaundice"
1714,thoracic aortic aneurysm,"I have severe chest pain, dizziness, back pain, shortness of breath, sharp abdominal pain, fatigue, chest tightness, unusual color or odor in urine, flushing, leg cramps or spasms, coughing up sputum, jaundice"
1715,subdural hemorrhage,"I am experiencing headache, dizziness, difficulty with movement, depressive or psychotic, seizures, vomiting, facial pain, disturbance of memory, irritable infant, abnormal movement of the eyelid, hostile behavior, delusions or hallucinations"
1716,subdural hemorrhage,"I am experiencing headache, dizziness, problems with movement, depressive or psychotic, seizures, vomiting, facial pain, disturbance of memory, irritable infant, abnormal movement of the eyelid, hostile behavior, delusions or hallucinations."
1717,subdural hemorrhage,"I am experiencing headache, dizziness, problems with movement, depressive or psychotic, seizures, vomiting, facial pain, depression, trouble with memory, irritable infant, abnormal movement of the eyelid, hostile behavior, delusions or hallucinations"
1718,subdural hemorrhage,"I am experiencing headache, dizziness, problems with movement, depressive or psychotic, seizures, vomiting, facial pain, disturbance of memory, irritable infant, abnormal movement of eyelids, hostile behavior, delusions or hallucinations."
1719,subdural hemorrhage,"I am experiencing headache, dizziness, problems with the movement, depressive or psychotic, seizures, vomiting, facial pain, disturbance of memory, irritable infant, abnormal movement of the eyelids, hostile behavior, delusions or hallucinations."
1720,subdural hemorrhage,"I have headache, dizziness, trouble with movement, depressive or psychotic, seizures, vomiting, facial pain, disturbance of memory, irritable child, abnormal movement of eyelids, hostile behavior, delusions or hallucinations."
1721,subdural hemorrhage,"I have headache, dizziness, problems with movement, depressive or psychotic, seizures, vomiting, facial pain, disturbance of memory, irritable infant, abnormal movement of eyelids, hostile behavior, delusions or hallucinations."
1722,subdural hemorrhage,"I have headache, dizziness, problems with movement, depressive or psychotic, seizures, vomiting, facial pain, memory disturbance, irritable infant, abnormal movement of eyelids, hostile behavior, delusions or hallucinations."
1723,subdural hemorrhage,"I have headache, dizziness, problems with movement, depressive or psychotic, seizures, vomiting, facial pain, memory disturbance, irritable infant, abnormal movement of eyelid, hostile behavior, delusions or hallucinations"
1724,subdural hemorrhage,"I have headache, dizziness, problems with movement, depressive or psychotic, seizures, vomiting, facial pain, disturbance of memory, irritable infant, abnormal movements of the eyelid, hostile behavior, delusions or hallucinations."
1725,congenital rubella,"I experienced pain in my eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee mass or lump, fatigue, excessive urination at night."
1726,congenital rubella,"I feel pain in the eyes, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee or mass, fatigue, excessive urination at night"
1727,congenital rubella,"I feel pain in the eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
1728,congenital rubella,"I suffer pain in my eyes, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee or mass, fatigue, excessive urination at night"
1729,congenital rubella,"I am experiencing pain in the eye, shoulder pain or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness in the breast, knee lump or mass, fatigue, excessive urination at night"
1730,congenital rubella,"I have pain in eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee and mass, fatigue, excess urination at night"
1731,congenital rubella,"I have pain in the eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee or mass, fatigue, excessive urination at night"
1732,congenital rubella,"I have pain in the eye, shoulder pain or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
1733,congenital rubella,"I have pain in eye, shoulder pain or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
1734,congenital rubella,"I have pain in the eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
1735,diabetic retinopathy,"I am experiencing diminished vision, spots or clouds in vision, pain in the eye, laxity, of the eye, redness of the eye, foreign body sensation in the eye, itchiness of the eye, blindness, bleeding from the eye, abnormal movement of the eyelids, double vision"
1736,diabetic retinopathy,"I am experiencing - diminished vision, spots or clouds in vision, pain in eye, lacrimation of eye, redness of the eye, foreign body sensation in eye, itchyness of the eye, blindness, bleeding from the eyelid, double vision"
1737,diabetic retinopathy,"I am experiencing a decreased vision, spots or clouds in vision, pain in eyelids, lacrimation, of eyes, eye redness, foreign body sensation in the eye, itchiness of the eye, blindness, bleeding from the eyelid, double vision, double vision"
1738,diabetic retinopathy,"I am experiencing diminished vision, spots or clouds in vision, pain in eye, lacrimation of eye, redness of eye, foreign body sensation in eye, itchiness of eye, blindness, bleeding of eyelid, double vision."
1739,diabetic retinopathy,"I am experiencing diminished vision, spots or cloudiness in vision, pain in eye, lacrimation of eye, redness in the eye, foreign sensation in the eye, itchiness of eye, blindness, bleeding from the eyelid, double vision"
1740,diabetic retinopathy,"I have impaired vision, spots or clouds in vision, pain in eye, lacrimation in eye, eye redness, foreign body sensation in eye, itchiness of eye, blindness, bleeding from eyelid, double vision"
1741,diabetic retinopathy,"I have diminished vision, spots or clouds in vision, pain in eye, lacrimation, eye redness, foreign body sensation in eye, itchiness of the eye, blindness, bleeding from eye, abnormal movement of eyelids, double vision"
1742,diabetic retinopathy,"I have decreased vision, spots or clouds in vision, pain in the eye, larimation in the eye, eye redness, foreign body sensation in the eye, itchiness of the eye, blindness, bleeding from the eye, abnormal movement of the eyelid, double vision"
1743,diabetic retinopathy,"I have diminished vision, spots or clouds in vision, pain in the eye, lacrimation of eye, eye redness, foreign body sensation in the eye, itchiness of the eye, blindness, bleeding from the eyelid, double vision."
1744,diabetic retinopathy,"I have gotten lost vision, spots or clouds in vision, pain in the eye, lacrimation of the eye, redness in the eyes, foreign body sensation in the eye, itchiness of the eye, blindness, bleeding from the eyelid, double vision"
1745,fibromyalgia,"I am experiencing back pain, headache, back pain, aches all over, neck pain, muscle pain, leg pain, headache, shoulder pain, low back pain, sharp chest pain, arm pain, hip pain, fatigue"
1746,fibromyalgia,"I experience back pain, ache all over, neck pain, muscle pain, leg pain, headache, shoulder pain, low back pain, sharp chest pain, arm pain, hip pain, fatigue"
1747,fibromyalgia,"I experience back pain, ache all over, neck pain, muscle pain, leg pain, headache, shoulder pain, low back pain, sharp chest pain, arm pain, hip pain, fatigue"
1748,fibromyalgia,", I feel back pain, ache all over, neck pain, muscle pain, leg pain, headache, shoulder pain, low back pain, aching chest pain, arm pain, hip pain, fatigue"
1749,fibromyalgia,"I am experiencing back pain, chest pain, muscle pain, leg pain, headache, shoulder pain, low back pain, sharp chest pain, arm pain, hip pain, fatigue"
1750,fibromyalgia,"I have back pain, pain all over, neck pain, muscle pain, leg pain, headache, shoulder pain, low back pain, sharp chest pain, arm pain, hip pain, fatigue"
1751,fibromyalgia,"I have back pain, all over ache, neck pain, muscle pain, leg pain, headache, shoulder pain, low back pain, sharp chest pain, arm pain, hip pain, fatigue"
1752,fibromyalgia,"I have back pain, all over pain, neck pain, muscle pain, leg pain, headache, shoulder pain, low back pain, sharp chest pain, arm pain, hip pain, fatigue"
1753,fibromyalgia,"I have back pain, aches all over, neck pain, muscle pain, leg pain, headache, shoulder pain, low back pain, sharp chest pain, arm pain, hip pain, fatigue"
1754,fibromyalgia,"I have back pain, neck pain, muscle pain, leg pain, headache, shoulder pain, low back pain, aches all over, arm pain, hip pain, fatigue"
1755,ischemia of the bowel,"I am experiencing sharp abdominal pain, vomiting, diarrhea, nausea, rectal bleeding, blood in stool, abdominal pain, constipation, melena, burning abdominal pain, chills, retention of urine"
1756,ischemia of the bowel,"I feel sharp abdominal pain, vomiting, diarrhea, nausea, rectal bleeding, blood in stool, lower abdominal pain, constipation, melena, burning abdominal pain, chills, retention of urine."
1757,ischemia of the bowel,"I am experiencing acute abdominal pain, vomiting, diarrhea, nausea, rectal bleeding, blood in the stools, lower abdominal pain, constipation, melena, burning abdominal pain, chills, retention of urine."
1758,ischemia of the bowel,"I am experiencing sharp abdominal pain, vomiting, diarrhea, nausea, rectal bleeding, blood in stool, lower abdominal pain, constipation, melena, burning abdominal pain, chills, retention of urine."
1759,ischemia of the bowel,"I am experiencing sharp abdominal pain, vomiting, diarrhea, nausea, rectal bleeding, blood in stool, lower abdominal pain, constipation, melena, burning abdominal pain, chills, retention of urine"
1760,ischemia of the bowel,"I have sharp abdominal pain, vomiting, diarrhea, nausea, rectal bleeding, blood in stool, lower abdominal pain, constipation, melena, burning abdominal pain, chills, retention of urine."
1761,ischemia of the bowel,"I have sharp abdominal pain, vomiting, diarrhea, nausea, rectal bleeding, blood in the stools, lower abdominal pain, constipation, melena, burning abdominal pain, chills, retention of urine."
1762,ischemia of the bowel,"I have sharp abdominal pain, vomiting, diarrhea, nausea, rectal bleeding, blood in stool, lower abdominal pain, constipation, melena, burning abdominal pain, chills, retention of urine"
1763,ischemia of the bowel,"I have sharp abdominal pain, vomiting, diarrhea, nausea, rectal bleeding, blood in the stool, lower abdominal pain, constipation, melena, burning abdominal pain, chills, retention of urine."
1764,ischemia of the bowel,"I have sharp abdominal pain, vomiting, diarrhea, nausea, rectal bleeding, blood in the stool, lower abdominal pain, constipation, melena, burning abdominal pain, chills, retention of urine."
1765,fetal alcohol syndrome,"I experience excessive anger, temper issues, lack of growth, eye redness, depressive or psychotic, hostile behavior, smoking problems, seizures, coryza, wrist weakness, eye strain, emotional,"
1766,fetal alcohol syndrome,"I am experiencing excessive anger, temper problems, lack of growth, eye redness, depressive or psychotic, hostile behavior, smoking problems, seizures, coryza, wrist weakness, eye strain, emotional,"
1767,fetal alcohol syndrome,"I am experiencing excessive anger, temper problems, lack of growth, eye redness, depressive or psychotic, hostile behavior, smoking problems, seizures, coryza, wrist weakness, eye strain, emotional,"
1768,fetal alcohol syndrome,"I am experiencing excessive anger, temper problems, lack of growth, eye redness, depressive or psychotic, hostile behavior, smoking problems, seizures, coryza, wrist weakness, eye strain, emotional,"
1769,fetal alcohol syndrome,"I experience excessive anger, temper problems, lack of growth, eye redness, depressive or psychotic, hostile behavior, smoking problems, seizures, coryza, wrist weakness, eye strain, emotional."
1770,fetal alcohol syndrome,"I have excessive anger, temper problems, lack of growth, eye redness, depressive or psychotic, hostile behavior, smoking problems, seizures, coryza, wrist weakness, eye strain, emotional,"
1771,fetal alcohol syndrome,"I have excessive anger, temper problems, lack of growth, eye redness, depressive or psychotic, hostile behavior, smoking, seizures, coryza, wrist weakness, eye strain, emotional,"
1772,fetal alcohol syndrome,"I have excessive anger, temper problems, lack of growth, eye redness, depressive or psychotic, hostile behavior, smoking problems, seizures, coryza, wrist weakness, eye strain, emotional,"
1773,fetal alcohol syndrome,"I have, over anger, temper problems, lack of growth, eye redness, depressive or psychotic, hostile behavior, smoking problems, seizures, coryza, wrist weakness, eye strain, emotional,"
1774,fetal alcohol syndrome,"I have excessive anger, temper problems, lack of growth, eye redness, depressive or psychotic, hostile behavior, smoking, seizures, coryza, wrist weakness, eye strain, emotional,"
1775,peritonitis,"I am experiencing sharp abdominal pain, nausea, vomiting, back pain, fever, shortness of breath, lower abdominal pain, upper abdominal pain, side pain, groin mass, intramenstrual bleeding, groin pain"
1776,peritonitis,"I am experiencing sharp abdominal pain, nausea, vomiting, back pain, fever, shortness of breath, lower abdominal pain, upper abdominal pain, side pain, groin mass, intermenstrual bleeding, groin pain"
1777,peritonitis,"I am experiencing sluggish abdominal pain, nausea, vomiting, back pain, fever, shortness of breath, lower abdominal pain, upper abdominal pain, side pain, groin mass, intermenstrual bleeding, groin pain"
1778,peritonitis,"I am experiencing sharp abdominal pain, nausea, vomiting, back pain, fever, shortness of breath, lower abdominal pain, upper abdominal pain, side pain, groin mass, intermenstrual bleeding, groin pain"
1779,peritonitis,"I am experiencing sharp abdominal pain, nausea, vomiting, back pain, fever, shortness of breath, lower abdominal pain, upper abdominal pain, side pain, groin mass, intramenstrual bleeding, groin pain"
1780,peritonitis,"I have sharp abdominal pain, nausea, vomiting, back pain, fever, shortness of breath, lower abdominal pain, upper abdominal pain, side pain, groin mass, intermenstrual bleeding, groin pain"
1781,peritonitis,"I have sharp abdominal pain, nausea, vomiting, back pain, fever, shortness of breath, lower abdominal pain, upper abdominal pain, side pain, groin mass, intermenstrual bleeding, groin pain"
1782,peritonitis,"I have sharp abdominal pain, nausea, vomiting, back pain, fever, shortness of breath, lower abdominal pain, upper abdominal pain, side pain, groin mass, intermenstrual bleeding, groin pain"
1783,peritonitis,"I have sharp abdominal pain, nausea, vomiting, back pain, fever, shortness of breath, lower abdominal pain, upper abdominal pain, side pain, groin mass, intermenstrual bleeding, groin pain"
1784,peritonitis,"I have abdominal pain, nausea, vomiting, back pain, fever, shortness of breath, lower abdominal pain, upper abdominal pain, side pain, groin mass, intermenstrual bleeding, groin pain"
1785,injury to the abdomen,"I am experiencing acute abdominal pain, sharp chest pain, back pain, burning abdominal pain, upper abdominal pain, lower abdominal pain, leg pain, neck pain, pain during pregnancy, side pain, problems during pregnancy, blood in urine."
1786,injury to the abdomen,"I am experiencing sharp abdominal pain, sharp chest pain, back pain, burning abdominal pain, upper abdominal pain, lower abdominal pain, leg pain, neck pain, pain during pregnancy, side pain, problems during pregnancy, blood in the urine"
1787,injury to the abdomen,"I am experiencing severe abdominal pain, sharp chest pain, back pain, burning abdominal pain, upper abdominal pain, lower abdominal pain, leg pain, neck pain, pain during pregnancy, side pain, pregnancy problems, blood in urine"
1788,injury to the abdomen,"I feel sharp abdominal pain, sharp chest pain, back pain, burning abdominal pain, upper abdominal pain, lower abdominal pain, leg pain, neck pain, pain during pregnancy, side pain, problems during pregnancy, blood in urine"
1789,injury to the abdomen,"I have suffered from sharp abdominal pain, sharp chest pain, back pain, burning abdominal pain, upper abdominal pain, lower abdominal pain, leg pain, neck pain, pain during pregnancy, side pain, problems during pregnancy, blood in urine"
1790,injury to the abdomen,"I have sharp abdominal pain, sharp chest pain, back pain, burning abdominal pain, upper abdominal pain, lower abdominal pain, leg pain, neck pain, pain during pregnancy, side pain, problems during pregnancy, blood in urine"
1791,injury to the abdomen,"I have sharp abdominal pain, sharp chest pain, back pain, burning abdominal pain, upper abdominal pain, lower abdominal pain, leg pain, neck pain, pain during pregnancy, side pain, problems during pregnancy, blood in urine"
1792,injury to the abdomen,"I have sharp abdominal pain, sharp chest pain, back pain, burning abdominal pain, upper abdominal pain, lower abdominal pain, leg pain, neck pain, pain during pregnancy, side pain, pain during pregnancy, blood in urine."
1793,injury to the abdomen,"I have sharp abdominal pain, sharp chest pain, back pain, burning abdominal pain, upper abdominal pain, lower abdominal pain, leg pain, neck pain, pain during pregnancy, side pain, pain during pregnancy, headaches during pregnancy"
1794,injury to the abdomen,"I have sharp abdominal pain, sharp chest pain, back pain, burning abdominal pain, upper abdominal pain, lower abdominal pain, leg pain, neck pain, pain during pregnancy, side pain, issues during pregnancy, blood in urine"
1795,acute pancreatitis,"I experience sharp abdominal pain, vomiting, nausea, upper abdominal pain, diarrhea, sharp chest pain, burning abdominal pain, back pain, side pain, alcohol use, lower body pain, hemoptysis"
