,Disease,Symptoms
224,hyperopia,"diminished vision,  of eye, abnormal movement of eyelid, itchiness of eye, pain in eye, eye deviation, spots or clouds in vision, eye redness, eye moves abnormally, blindness, neck cramps or spasms, difficulty speaking"
225,poisoning due to sedatives,"depressive or psychotic , sleepiness, depression, insomnia, abusing alcohol, delusions or hallucinations, drug abuse, problems with movement, hostile behavior, slurring words, excessive anger, disturbance of memory"
226,pemphigus,"skin lesion, skin rash, abnormal appearing skin, itching of skin, skin irritation, irregular appearing scalp, arm pain, mouth ulcer, foot or toe pain, peripheral edema, mouth pain, hand or finger pain"
227,peyronie disease,"impotence, penis pain,  of prostate, mass in scrotum, frequent urination, sweating, infertility, lower abdominal pain, blood in urine, warts, bumps on penis, emotional , "
228,hiatal hernia,"sharp abdominal pain, sharp chest pain, nausea, vomiting, difficulty in swallowing, burning abdominal pain, dizziness, heartburn, back pain, upper abdominal pain, vomiting blood, regurgitation"
229,extrapyramidal effect of drugs,"abnormal involuntary movements, seizures, anxiety and nervousness, disturbance of memory, nausea, cramps and spasms, problems with movement, headache, delusions or hallucinations, restlessness, neck stiffness or tightness, arm stiffness or tightness"
230,meniere disease,"dizziness, diminished hearing, ringing in ear, plugged feeling in ear, ear pain, nausea, headache, allergic reaction, heartburn, impotence, facial pain, bleeding from ear"
231,anal fissure,"rectal bleeding, pain of the anus, blood in stool, constipation, sharp abdominal pain, changes in stool appearance, lower body pain, irregular belly button, cramps and spasms, vaginal dryness,  of prostate, itchiness of eye"
232,allergy,"skin rash, allergic reaction, itching of skin, peripheral edema, abnormal appearing skin, cough, swollen eye, lip swelling, skin swelling, itchiness of eye, fluid retention, swollen tongue"
233,chronic otitis media,"redness in ear, ear pain, nasal congestion, cough, diminished hearing, fever, fluid in ear, plugged feeling in ear, pulling at ears, allergic reaction, painful sinuses, bleeding from ear"
234,fracture of the finger,"hand or finger pain, foot or toe pain, hand or finger swelling, foot or toe swelling, hand or finger stiffness or tightness"
235,hirschsprung disease,"constipation, ankle pain, vomiting, sharp abdominal pain, wrist weakness, elbow weakness, eye strain, feeling hot and cold, nailbiting, low back weakness, emotional , underweight"
236,polymyalgia rheumatica,"fatigue, shoulder pain, leg pain, ache all over, sharp chest pain, muscle pain, hip pain, irregular heartbeat, leg weakness, stiffness all over, difficulty in swallowing, temper problems"
237,lymphedema,"skin lesion, leg swelling, peripheral edema, leg pain, abnormal appearing skin, fluid retention, skin on leg or foot looks infected, lymphedema, foot or toe swelling, skin dryness peeling scaliness or roughness, neck mass, throat swelling"
238,bladder cancer,"blood in urine, retention of urine,  of bladder, bladder mass, excessive urination at night, groin mass, kidney mass, penis redness,  of prostate, mass in scrotum, penile discharge, pain during intercourse"
239,acute bronchospasm,"cough, shortness of breath, wheezing, fever, difficulty breathing, nasal congestion, sharp chest pain, sore throat, coryza, vomiting, headache, chest tightness"
240,acute glaucoma,"diminished vision, pain in eye,  of eye, eye redness, spots or clouds in vision, foreign body sensation in eye, itchiness of eye, blindness, lacrimation, double vision, eye burns or stings"
241,open wound of the chest,"sharp chest pain, drug abuse, lip swelling"
242,dislocation of the patella,"knee pain, knee swelling, fluid retention, problems during pregnancy, knee stiffness or tightness"
243,sciatica,"back pain, leg pain, low back pain, hip pain, lower body pain, loss of sensation, problems with movement, paresthesia, leg weakness, back cramps or spasms, leg cramps or spasms, unusual color or odor to urine"
244,hypercalcemia,"weakness, dizziness, loss of sensation, feeling ill, hand or finger weakness, allergic reaction, arm cramps or spasms, focal weakness, retention of urine, delusions or hallucinations, irregular appearing nails, leg weakness"
245,stress incontinence,"involuntary urination, frequent urination, painful urination,  of bladder, blood in urine, retention of urine, suprapubic pain, hot flashes, pelvic pain, excessive urination at night, weight gain, intermenstrual bleeding"
246,varicose veins,"skin lesion, leg pain, peripheral edema, ache all over, lymphedema, leg swelling, leg cramps or spasms, skin on leg or foot looks infected, leg lump or mass"
247,benign kidney cyst,"side pain, sharp abdominal pain, blood in urine, vomiting, back pain, low back pain, involuntary urination,  of the kidneys, drainage in throat, impotence,  of prostate, decreased appetite"
248,hydrocele of the testicle,"swelling of scrotum, pain in testicles, groin pain, mass in scrotum, lower abdominal pain, retention of urine, groin mass, excessive urination at night, blood in urine,  of the scrotum and testes, skin growth, impotence"
249,degenerative disc disease,"back pain, low back pain, leg pain, neck pain, hip pain, shoulder pain, ache all over, loss of sensation, arm pain, lower body pain, paresthesia, joint pain"
250,hirsutism,"unwanted hair, unpredictable menstruation, acne or pimples, fatigue, infertility, abnormal appearing skin, weight gain, warts, skin moles, too little hair, heavy menstrual flow, apnea"
251,dislocation of the foot,"foot or toe pain, vomiting, ankle pain, knee weakness, elbow weakness, elbow cramps or spasms, eye strain, low back weakness, wrist weakness, underweight, feeling hot and cold, muscle swelling"
252,hydronephrosis,"side pain, sharp abdominal pain, back pain, nausea, vomiting, blood in urine, suprapubic pain,  of the kidneys, lower abdominal pain, lower body pain, pain in testicles,  of bladder"
253,diverticulosis,"sharp abdominal pain, rectal bleeding, constipation, diarrhea, blood in stool, burning abdominal pain, nausea, vomiting, lower abdominal pain, melena, upper abdominal pain, heartburn"
254,pain after an operation,"sharp abdominal pain, back pain, sharp chest pain, headache, nausea, vomiting, low back pain, toothache, leg pain, neck pain, side pain, lower abdominal pain"
255,huntington disease,"constipation, problems with movement, depression, anxiety and nervousness, back pain, loss of sensation, sharp abdominal pain, drug abuse,  of the face, elbow weakness, low back weakness, excessive growth"
256,west nile virus,"pain in eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
257,lymphoma,"fatigue, neck mass, regurgitation, hoarse voice, muscle pain, mouth pain,  of the kidneys, groin mass, mouth ulcer, stiffness all over, shoulder lump or mass, itchy ear(s)"
258,dermatitis due to sun exposure,"abnormal appearing skin, skin lesion, skin rash, skin moles, skin dryness peeling scaliness or roughness, irregular appearing scalp, acne or pimples, skin growth, skin swelling,  of the face, itchy scalp, lack of growth"
259,anemia due to chronic kidney disease,"fatigue, weakness, shortness of breath, peripheral edema, ankle swelling, recent weight loss, polyuria, feeling cold,  of the kidneys, melena"
260,injury to internal organ,"sharp abdominal pain, side pain, sharp chest pain, rib pain, ache all over, back pain, blood in urine, retention of urine, pain of the anus, hurts to breath, lymphedema, frequent urination"
261,scleritis,"pain in eye, eye redness, headache, lacrimation, spots or clouds in vision, cloudy eye,  of eye, vaginal itching, pain during pregnancy, abnormal appearing skin, foreign body sensation in eye, abnormal involuntary movements"
262,pterygium,"pain in eye,  of eye, eye redness, diminished vision, itchiness of eye, lacrimation, foreign body sensation in eye, eye burns or stings, spots or clouds in vision, eyelid swelling, acne or pimples, irregular appearing scalp"
263,fungal infection of the skin,"skin rash, itching of skin, abnormal appearing skin, skin lesion, irregular appearing scalp, skin swelling, too little hair, skin dryness peeling scaliness or roughness, itchy scalp, dry or flaky scalp, acne or pimples, irregular appearing nails"
264,insulin overdose,"diarrhea, weakness, depressive or psychotic , wrist weakness, underweight, elbow weakness, nailbiting, emotional , feeling hot and cold, low back weakness, elbow cramps or spasms, excessive growth"
265,syndrome of inappropriate secretion of adh (siadh),"dizziness, shoulder pain, neck pain, headache, fever, nausea, weakness, feeling ill, shoulder swelling, vulvar sore, eye strain, cross-eyed"
266,foreign body in the ear,"ear pain, diminished hearing, bleeding from ear, fluid in ear, throat feels tight, skin irritation, irregular appearing scalp, throat irritation, hysterical behavior"
267,premenstrual tension syndrome,"premenstrual tension or irritability, headache, unpredictable menstruation, back pain, long menstrual periods, depressive or psychotic , painful menstruation, vomiting, burning abdominal pain, heavy menstrual flow, lower abdominal pain, pelvic pain"
268,orbital cellulitis,"swollen eye, eye redness, pain in eye, fever,  of eye, eyelid swelling, peripheral edema, neck swelling, itching of skin, diminished vision, diminished hearing, facial pain"
269,injury to the leg,"knee pain, foot or toe pain, ankle pain, leg pain, knee swelling, foot or toe swelling, ankle swelling, problems with movement, leg swelling, knee stiffness or tightness, irregular appearing nails, infant feeding problem"
270,hepatic encephalopathy,"depressive or psychotic , sharp abdominal pain, shortness of breath, peripheral edema, fainting, weakness, fatigue, drug abuse, problems with movement, seizures, abusing alcohol, fluid retention"
271,bone cancer,"low back pain, ache all over, back pain, leg pain, fatigue, peripheral edema, rib pain, problems with movement, joint pain, arm lump or mass, muscle pain, gum pain"
272,leishmaniasis,"pain in eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
273,chagas disease,"pain in eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
274,syringomyelia,"back pain, shoulder pain, headache, neck pain, side pain, leg weakness, hand or finger swelling, fainting, pain or soreness of breast, foot or toe pain, shoulder swelling, arm stiffness or tightness"
275,pulmonary fibrosis,"shortness of breath, cough, sharp chest pain, difficulty breathing, fever, fainting, coughing up sputum, itchiness of eye, chest tightness, hemoptysis, hurts to breath, palpitations"
276,mitral valve disease,"sharp chest pain, palpitations, shortness of breath, fatigue, dizziness, chest tightness, increased heart rate, irregular heartbeat, weight gain, sweating, drainage in throat, nightmares"
277,parkinson disease,"abnormal involuntary movements, problems with movement, disturbance of memory, dizziness, weakness, stiffness all over, leg weakness, focal weakness, muscle stiffness or tightness, difficulty speaking, leg stiffness or tightness, fears and phobias"
278,gout,"foot or toe pain, knee pain, foot or toe swelling, ankle pain, wrist pain, hand or finger pain, hand or finger swelling, joint pain, ankle swelling, knee swelling, leg swelling, wrist swelling"
279,otitis media,"ear pain, fever, cough, nasal congestion, sore throat, vomiting, redness in ear, pulling at ears, coryza, fluid in ear, diminished hearing, plugged feeling in ear"
280,drug abuse (opioids),"drug abuse, depressive or psychotic , depression, anxiety and nervousness, abusing alcohol, insomnia, delusions or hallucinations, excessive anger, temper problems, antisocial behavior, low self-esteem, restlessness"
281,myelodysplastic syndrome,"fatigue, chills, difficulty speaking, coughing up sputum"
282,fracture of the shoulder,"shoulder pain, arm pain, bones are painful, arm stiffness or tightness, shoulder swelling, fluid retention, shoulder stiffness or tightness, changes in stool appearance, mass on ear, arm weakness, stiffness all over, neck swelling"
283,acute kidney injury,"shortness of breath, weakness, vomiting, dizziness, nausea, sharp abdominal pain, sharp chest pain, kidney mass,  of the kidneys, peripheral edema, blood in urine, retention of urine"
284,threatened pregnancy,"spotting or bleeding during pregnancy, sharp abdominal pain, pain during pregnancy, uterine contractions, problems during pregnancy, lower abdominal pain, cramps and spasms, back pain, intermenstrual bleeding, pelvic pain, blood clots during menstrual periods, vaginal discharge"
285,intracranial abscess,"seizures, fever, back pain, headache, low back pain, depressive or psychotic , leg pain, fatigue, neck pain, sharp chest pain, weakness, slurring words"
286,gum disease,"toothache, gum pain, facial pain, peripheral edema, fever, ear pain, mouth ulcer, mouth pain, bleeding gums, pain in gums, lip swelling, jaw swelling"
287,open wound from surgical incision,"skin lesion, skin swelling, recent pregnancy, knee swelling, flatulence, skin on leg or foot looks infected, heavy menstrual flow, sneezing"
288,gastrointestinal hemorrhage,"blood in stool, rectal bleeding, sharp abdominal pain, melena, vomiting, diarrhea, vomiting blood, changes in stool appearance, weakness, nausea, dizziness, fainting"
289,seborrheic dermatitis,"skin rash, skin dryness peeling scaliness or roughness, abnormal appearing skin, itching of skin, irregular appearing scalp, dry or flaky scalp, itchy scalp, acne or pimples, skin lesion, too little hair, skin growth,  of the face"
290,drug abuse (methamphetamine),"drug abuse, depressive or psychotic , anxiety and nervousness, depression, shortness of breath, delusions or hallucinations, fears and phobias, hostile behavior, abusing alcohol, palpitations, feeling ill, pain during pregnancy"
291,torticollis,"neck pain, neck stiffness or tightness, headache, neck cramps or spasms, shoulder pain, back pain, arm pain, abnormal involuntary movements, throat swelling, cramps and spasms, leg weakness, shoulder lump or mass"
292,poisoning due to antihypertensives,"depressive or psychotic , dizziness, itching of skin, skin rash, weakness, diarrhea, nausea, swollen tongue, focal weakness, sharp abdominal pain, feeling hot, allergic reaction"
293,tension headache,"headache, neck pain, nausea, dizziness, anxiety and nervousness, chills, neck stiffness or tightness, painful menstruation, painful sinuses,  of the face, bleeding from ear, back cramps or spasms"
294,alcohol intoxication,"abusing alcohol, depressive or psychotic , vomiting, depression, sharp abdominal pain, sharp chest pain, anxiety and nervousness, nausea, fainting, abnormal involuntary movements, delusions or hallucinations, problems with movement"
295,scurvy,"sharp abdominal pain, skin moles, knee lump or mass, excessive growth, pelvic pressure, vulvar sore, loss of sex drive, bedwetting, neck cramps or spasms, shoulder swelling, eye strain, joint stiffness or tightness"
296,narcolepsy,"sleepiness, fatigue, apnea, headache, abnormal involuntary movements, shortness of breath, abnormal breathing sounds, insomnia, weight gain, temper problems, disturbance of memory, delusions or hallucinations"
297,food allergy,"allergic reaction, skin rash, itching of skin, nasal congestion, vomiting, wheezing, cough, abnormal appearing skin, lip swelling, peripheral edema, sneezing, hand or finger swelling"
298,labyrinthitis,"dizziness, nausea, vomiting, headache, weakness, ear pain, loss of sensation, diminished hearing, ringing in ear, plugged feeling in ear, sweating, spots or clouds in vision"
299,anxiety,"anxiety and nervousness, depression, sharp chest pain, depressive or psychotic , shortness of breath, headache, insomnia, palpitations, abnormal involuntary movements, irregular heartbeat, fears and phobias, increased heart rate"
300,impulse control disorder,"depressive or psychotic , anxiety and nervousness, hostile behavior, depression, excessive anger, temper problems, insomnia, obsessions and compulsions, delusions or hallucinations, excessive appetite, antisocial behavior, long menstrual periods"
301,stenosis of the tear duct,"lacrimation,  of eye, eye redness, nasal congestion, cough, abnormal movement of eyelid, skin rash, diaper rash, decreased appetite, eye burns or stings, eyelid swelling, white discharge from eye"
302,abscess of nose,"nasal congestion, cough, fever, coryza, sore throat, sinus congestion, ear pain, vomiting, headache, abnormal breathing sounds, irritable infant, decreased appetite"
303,omphalitis,"irregular belly button, flatulence, irritable infant, diaper rash, jaundice, skin rash, low back weakness, back weakness, emotional , pus in sputum, elbow cramps or spasms, muscle swelling"
304,leukemia,"fatigue, fever, mouth pain, pallor, muscle stiffness or tightness,  of the kidneys, bleeding gums"
305,bell palsy,"focal weakness, loss of sensation,  of the face, headache, facial pain, weakness, peripheral edema,  of eye, paresthesia, diminished vision, eyelid lesion or rash, abnormal involuntary movements"
306,conjunctivitis due to allergy,"eye redness, itchiness of eye, pain in eye, lacrimation, nasal congestion, swollen eye, eye burns or stings,  of eye, diminished vision, allergic reaction, cough, sneezing"
307,drug reaction,"skin rash, allergic reaction, itching of skin, dizziness, peripheral edema, lip swelling, nausea, shortness of breath, headache, vomiting, abnormal appearing skin, throat swelling"
308,adrenal cancer,"skin rash, dizziness, cough, diaper rash, sweating, chills, diminished hearing, nosebleed"
309,myopia,"diminished vision, spots or clouds in vision, pain in eye,  of eye, eye redness, foreign body sensation in eye, itchiness of eye, lacrimation, eye moves abnormally, blindness, eye deviation, abnormal movement of eyelid"
310,osteoarthritis,"knee pain, hip pain, shoulder pain, back pain, leg pain, hand or finger pain, joint pain, knee swelling, ankle pain, elbow pain, muscle pain, knee weakness"
311,thyroid disease,"neck mass, difficulty in swallowing, hot flashes, neck swelling, hostile behavior, lump in throat, too little hair, drainage in throat, double vision, throat feels tight, blindness, restlessness"
312,pharyngitis,"cough, fever, sore throat, wheezing, difficulty in swallowing, hoarse voice, coryza, hurts to breath, sharp abdominal pain, nausea, ear pain, nasal congestion"
313,chronic rheumatic fever,"shortness of breath, sharp chest pain, palpitations, difficulty breathing, dizziness, chest tightness, increased heart rate, drainage in throat, restlessness, throat feels tight, smoking problems, fluid in ear"
314,hypocalcemia,"shortness of breath, sharp abdominal pain, loss of sensation, seizures, weakness, paresthesia, sharp chest pain, constipation, abnormal involuntary movements, diarrhea, nausea, leg weakness"
315,macular degeneration,"diminished vision, spots or clouds in vision,  of eye, pain in eye, lacrimation, blindness, itchiness of eye, foreign body sensation in eye, double vision, eye burns or stings, bleeding from eye, abnormal movement of eyelid"
316,pneumonia,"cough, fever, shortness of breath, sharp chest pain, nasal congestion, difficulty breathing, vomiting, weakness, sore throat, wheezing, coryza, chills"
317,cold sore,"skin rash, lip sore, mouth ulcer, fever, lip swelling, skin lesion, sore throat, vaginal itching, vaginal discharge, itching of skin, skin swelling, peripheral edema"
318,premature ventricular contractions (pvcs),"palpitations, irregular heartbeat, sharp chest pain, fainting, shortness of breath, increased heart rate, difficulty breathing, chest tightness, sleepiness, apnea, impotence, back cramps or spasms"
319,chancroid,"pain in eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
320,testicular cancer,"mass in scrotum, anxiety and nervousness, ache all over, nausea, groin pain,  of the scrotum and testes, skin on arm or hand looks infected, blood in urine, chills, diminished hearing, pain in testicles, painful urination"
321,hydrocephalus,"headache, seizures, vomiting, depressive or psychotic , problems with movement, difficulty speaking, paresthesia, focal weakness, disturbance of memory, abnormal involuntary movements, arm stiffness or tightness, lack of growth"
322,breast cancer,"lump or mass of breast, pain or soreness of breast, hot flashes, bleeding or discharge from nipple, joint stiffness or tightness"
323,anemia due to malignancy,"fatigue, shortness of breath, difficulty in swallowing, pain of the anus, nosebleed, vaginal pain, mouth pain, hot flashes, flatulence"
324,esophageal varices,"burning abdominal pain, nausea, changes in stool appearance, dizziness, weakness, lower abdominal pain, sharp abdominal pain, difficulty in swallowing, melena, itching of skin, pain of the anus, decreased appetite"
325,endometrial cancer,"vaginal bleeding after menopause, intermenstrual bleeding, pelvic pain, hot flashes, long menstrual periods, vaginal discharge, vaginal itching, cramps and spasms, unpredictable menstruation, infrequent menstruation, mass on vulva, absence of menstruation"
326,cystic fibrosis,"cough, feeling ill, decreased appetite, intermenstrual bleeding, hemoptysis, bleeding gums, spots or clouds in vision, sinus congestion, drainage in throat, muscle pain"
327,intertrigo (skin condition),"skin rash, abnormal appearing skin, skin dryness peeling scaliness or roughness, skin swelling, skin irritation, neck pain, skin lesion, itching of skin, acne or pimples, skin growth, foot or toe swelling, skin moles"
328,parathyroid adenoma,"shoulder pain, weakness, anxiety and nervousness, disturbance of memory, fluid retention, flu-like syndrome, throat feels tight, weight gain,  of the kidneys, tongue lesions, difficulty in swallowing, flatulence"
329,glucocorticoid deficiency,"shortness of breath, weakness, diarrhea, problems with movement, side pain, lack of growth,  of the kidneys, muscle cramps contractures or spasms, drug abuse, rib pain, feeling ill, apnea"
330,temporomandibular joint disorder,"facial pain, ear pain, headache, neck pain, nasal congestion, sore throat, toothache, ringing in ear, diminished hearing, pain in eye, jaw pain, redness in ear"
331,wilson disease,"sleepiness, diminished vision, fatigue, abnormal breathing sounds, insomnia, cough, apnea, problems with movement, fainting, difficulty in swallowing, weakness, difficulty eating"
332,vesicoureteral reflux,"suprapubic pain, fever, blood in urine, constipation,  of the kidneys, involuntary urination, fluid in ear, regurgitation"
333,vitamin a deficiency,"fatigue, hand or finger pain, knee lump or mass, eye strain, excessive growth, pelvic pressure, bedwetting, vulvar sore, loss of sex drive, neck cramps or spasms, joint stiffness or tightness, shoulder swelling"
334,gonorrhea,"penile discharge, sharp abdominal pain, vaginal discharge, vaginal itching, painful urination, penis redness, problems with movement, paresthesia, itching of skin, vaginal pain, spotting or bleeding during pregnancy, cramps and spasms"
335,fracture of the rib,"rib pain, sharp chest pain, back pain, side pain, shoulder pain, ache all over, arm pain, shortness of breath, hurts to breath, hip pain, bones are painful, back mass or lump"
336,ependymoma,"diminished vision, pain in eye, headache, eyelid swelling,  of eye, abnormal appearing skin, eye redness, emotional , elbow cramps or spasms, pus in sputum, elbow weakness, muscle swelling"
337,hepatitis due to a toxin,"sharp abdominal pain, nausea, diarrhea, vomiting, depression, fatigue, jaundice, itching of skin, feeling ill, upper abdominal pain, flu-like syndrome, rectal bleeding"
338,vaginal cyst,"sharp abdominal pain, spotting or bleeding during pregnancy, pelvic pain, vaginal pain, lower abdominal pain, vaginal discharge, cramps and spasms, intermenstrual bleeding, blood clots during menstrual periods, pain during pregnancy, heavy menstrual flow, problems during pregnancy"
339,open wound of the shoulder,"shoulder pain, arm pain, shoulder stiffness or tightness, arm swelling, abusing alcohol, elbow pain, wrist pain"
340,ectopic pregnancy,"sharp abdominal pain, pain during pregnancy, spotting or bleeding during pregnancy, lower abdominal pain, pelvic pain, nausea, dizziness, cramps and spasms, intermenstrual bleeding, burning abdominal pain, vaginal discharge, problems during pregnancy"
341,chronic knee pain,"knee pain, leg pain, knee swelling, back pain, hip pain, leg swelling, knee stiffness or tightness, joint pain, knee weakness"
342,pinguecula," of eye, lacrimation, double vision, headache, spots or clouds in vision, sleepiness, paresthesia, pain in eye, apnea, diminished vision, abnormal breathing sounds, itching of scrotum"
343,hypergammaglobulinemia,"fatigue, hip stiffness or tightness, blood in stool, knee stiffness or tightness"
344,alcohol abuse,"abusing alcohol, depressive or psychotic , drug abuse, depression, anxiety and nervousness, hostile behavior, delusions or hallucinations, excessive anger, vomiting blood, smoking problems, slurring words, low self-esteem"
345,carpal tunnel syndrome,"loss of sensation, hand or finger pain, wrist pain, paresthesia, arm pain, neck pain, hand or finger weakness, elbow pain, hand or finger stiffness or tightness, hand or finger swelling, arm weakness, wrist swelling"
346,pituitary disorder,"headache, lack of growth, pain in eye, sleepiness, bleeding or discharge from nipple, mouth pain, acne or pimples, hot flashes, fluid retention, postpartum problems of the breast, infertility, weight gain"
347,kidney stone,"side pain, sharp abdominal pain, back pain, vomiting, nausea, blood in urine, lower abdominal pain, low back pain, painful urination, frequent urination, retention of urine, suprapubic pain"
348,autism,"seizures, depressive or psychotic , hostile behavior, lack of growth, constipation, temper problems, antisocial behavior, difficulty speaking, restlessness, obsessions and compulsions, long menstrual periods, eyelid retracted"
349,cat scratch disease,"neck swelling, skin swelling, groin mass, skin rash, loss of sensation, arm swelling, skin lesion, headache, fever, swollen eye, arm lump or mass, itchy eyelid"
350,chronic glaucoma,"diminished vision, pain in eye,  of eye, spots or clouds in vision, lacrimation, foreign body sensation in eye, blindness, itchiness of eye, eye burns or stings, white discharge from eye, double vision, mass on eyelid"
351,retinal detachment,"spots or clouds in vision, diminished vision, blindness,  of eye, pain in eye, itchiness of eye, eye burns or stings, lacrimation, cloudy eye, abnormal movement of eyelid, bleeding from eye, double vision"
352,aplastic anemia,"fatigue, fever, weakness, nausea, slurring words, feeling cold, lack of growth, hot flashes, mouth dryness, vomiting blood, fluid retention, leg weakness"
353,overflow incontinence,"retention of urine, involuntary urination,  of bladder, frequent urination, suprapubic pain, blood in urine, excessive urination at night, impotence,  of prostate, hand or finger stiffness or tightness, focal weakness, hesitancy"
354,rabies,"pain in eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
355,hemolytic anemia,"fatigue, cough, nausea, weakness, fever, peripheral edema, allergic reaction, itching of skin, joint pain, skin growth, swollen abdomen, stomach bloating"
356,lateral epicondylitis (tennis elbow),"elbow pain, arm pain, shoulder pain, loss of sensation, wrist pain, hand or finger pain, paresthesia, elbow lump or mass, elbow swelling, joint pain, irregular belly button, hand or finger stiffness or tightness"
357,open wound of the eye,"pain in eye, diminished vision,  of eye, spots or clouds in vision, swollen eye, foreign body sensation in eye, bleeding from eye, itchiness of eye, knee weakness, white discharge from eye, blindness"
358,syphilis,"skin rash, headache, vaginal discharge, foot or toe swelling, itching of skin, arm lump or mass, problems during pregnancy, muscle pain, congestion in chest, disturbance of memory, muscle weakness, increased heart rate"
359,diabetic kidney disease,"leg swelling, impotence, hurts to breath, lack of growth, thirst, delusions or hallucinations, irregular appearing nails,  of the kidneys, leg cramps or spasms, heartburn, blood in stool, excessive anger"
360,nose disorder,"nasal congestion, cough, fever, sore throat, headache, coryza, ear pain, difficulty breathing, painful sinuses, facial pain, sinus congestion, nosebleed"
361,drug withdrawal,"vomiting, nausea, antisocial behavior, anxiety and nervousness, chills, diarrhea, sharp abdominal pain, depression, ache all over, seizures, abnormal involuntary movements, dizziness"
362,dental caries,"toothache, gum pain, facial pain, peripheral edema, ear pain, mouth pain, jaw swelling, skin swelling, pain in gums, neck swelling, skin irritation, restlessness"
363,hypercholesterolemia,"sharp chest pain, palpitations, weight gain, excessive urination at night, hand or finger stiffness or tightness"
364,fracture of the patella,"knee pain, leg pain, knee swelling, ankle pain, hip pain, leg swelling, leg weakness, melena, bones are painful, back cramps or spasms, knee weakness"
365,kidney failure,"shortness of breath, nausea, weakness, sharp chest pain, vomiting,  of the kidneys, arm swelling, leg swelling, muscle cramps contractures or spasms, swollen abdomen, leg weakness, lymphedema"
366,fracture of the neck,"hip pain, low back pain, leg pain, groin pain, side pain, elbow pain, lower body pain,  of bladder, low self-esteem, regurgitation"
367,muscle spasm,"neck pain, back pain, shoulder pain, leg pain, headache, leg cramps or spasms, low back pain, muscle cramps contractures or spasms, arm pain, sharp chest pain, loss of sensation, abnormal involuntary movements"
368,hemophilia,"leg pain, cough, headache, bleeding gums, frontal headache, melena, uterine contractions, nosebleed, groin pain, hemoptysis, absence of menstruation, skin on arm or hand looks infected"
369,hyperosmotic hyperketotic state,"weakness, thirst, frequent urination, cough, sharp abdominal pain, fainting, burning chest pain, mouth ulcer, neck pain, pain during intercourse, mouth dryness, diminished vision"
370,peritonsillar abscess,"sore throat, difficulty in swallowing, swollen or red tonsils, fever, ear pain, throat feels tight, headache, chills, neck swelling, throat swelling, swollen lymph nodes, throat redness"
371,gastroparesis,"vomiting, nausea, sharp abdominal pain, regurgitation, sharp chest pain, diarrhea, fatigue, burning abdominal pain, heartburn, loss of sensation, constipation, upper abdominal pain"
372,itching of unknown cause,"itching of skin, skin rash, allergic reaction, abnormal appearing skin, skin dryness peeling scaliness or roughness, itchy scalp, vaginal itching, paresthesia, skin irritation, problems during pregnancy, fluid retention, sneezing"
373,fat embolism,"pain in eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
374,polycythemia vera,"fatigue, skin lesion, dizziness, headache,  of eye, itching of skin, joint pain, regurgitation, weight gain, difficulty eating, spots or clouds in vision, joint swelling"
375,thrombocytopenia,"sharp chest pain, fatigue, blood in urine, nosebleed, blood in stool, bleeding gums, tongue lesions, eyelid swelling, mouth pain, irregular belly button, lymphedema, irregular appearing scalp"
376,head and neck cancer,"sore throat, difficulty in swallowing, mouth pain, throat feels tight, facial pain, hoarse voice, neck mass, plugged feeling in ear, tongue lesions, hemoptysis, tongue pain, bleeding in mouth"
377,pseudohypoparathyroidism,"knee pain, foot or toe pain, wrist pain, low back pain, hip pain, leg pain, joint pain, ankle pain, skin lesion, wrist swelling, leg swelling, elbow weakness"
378,goiter,"fatigue, weight gain, neck mass, difficulty in swallowing, neck swelling, lump in throat, heartburn, hot flashes, leg weakness, feeling hot and cold, arm weakness, bones are painful"
379,urge incontinence,"frequent urination, involuntary urination,  of bladder, retention of urine, suprapubic pain, painful urination, back pain, blood in urine, excessive urination at night, constipation, vaginal itching,  of prostate"
380,edward syndrome,"fever, suprapubic pain, knee lump or mass, excessive growth, vulvar sore, shoulder swelling, wrist weakness, nailbiting, itchy eyelid, cross-eyed, eye strain, joint stiffness or tightness"
381,open wound of the arm,"arm pain, elbow pain, redness in or around nose, elbow lump or mass, hand or finger weakness, elbow swelling, knee weakness"
382,muscular dystrophy,"fatigue, headache, muscle weakness, cough, weakness, nasal congestion, loss of sensation, double vision, hand or finger pain, problems with movement, hip pain, feeling cold"
